City,Date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,windspeed,winddir,sealevelpressure,cloudcover,visibility,sunrise,sunset,moonphase,conditions,description
Surat,2011-04-18,34.1,25.9,29.6,38.8,25.9,32.9,22.5,67.2,25.2,261.7,1008.6,2.9,4,2011-04-18 06:17:45,2011-04-18 18:58:45,0.5,Clear,Clear conditions throughout the day.
Surat,2011-04-19,34.7,25.2,29.7,43,25.2,32.3,21.6,64.1,25.6,259.7,1007.3,5.6,4,2011-04-19 06:16:58,2011-04-19 18:59:06,0.52,Clear,Clear conditions throughout the day.
Surat,2011-04-20,35.1,25.1,29.5,42.2,25.1,31.9,21.3,63.4,24.1,278.7,1007.4,0.4,4,2011-04-20 06:16:11,2011-04-20 18:59:27,0.54,Clear,Clear conditions throughout the day.
Surat,2011-04-21,34.7,24.7,29.5,39.9,24.7,32,21.6,64.6,22.7,254.2,1007.4,9,4,2011-04-21 06:15:25,2011-04-21 18:59:48,0.58,Clear,Clear conditions throughout the day.
Surat,2011-04-22,33.4,24.4,28.9,41.3,24.4,32,22.6,70.1,23.8,231.8,1007.4,0,3.8,2011-04-22 06:14:39,2011-04-22 19:00:09,0.63,Clear,Clear conditions throughout the day.
Surat,2011-04-23,33.9,24.4,28.7,42.8,24.4,32.3,23.8,75.9,23,237,1006.7,0.5,3.8,2011-04-23 06:13:55,2011-04-23 19:00:31,0.67,Clear,Clear conditions throughout the day.
Surat,2011-04-24,33.1,25.1,28.7,40.9,25.1,32.3,23.4,73.5,25.6,238.7,1006.9,4.6,4,2011-04-24 06:13:11,2011-04-24 19:00:52,0.72,Clear,Clear conditions throughout the day.
Surat,2011-04-25,36.2,24.1,29.6,38.6,24.1,32.2,21.4,62.9,27,268.4,1007,1.2,4,2011-04-25 06:12:27,2011-04-25 19:01:14,0.77,Clear,Clear conditions throughout the day.
Surat,2011-04-26,36.7,23.7,30,38.4,23.7,32.7,21.5,62.1,28.1,275.7,1007.1,0.1,3.8,2011-04-26 06:11:45,2011-04-26 19:01:36,0.82,Clear,Clear conditions throughout the day.
Surat,2011-04-27,37.1,24.7,30.5,38.8,24.7,33.7,22.3,63.6,25.9,224,1006.1,0.3,4,2011-04-27 06:11:03,2011-04-27 19:01:59,0.87,Clear,Clear conditions throughout the day.
Surat,2011-04-28,36.9,25.9,30.8,39.8,25.9,34.5,22.8,64.2,21.2,238.7,1004.9,10.6,4,2011-04-28 06:10:22,2011-04-28 19:02:21,0.91,Clear,Clear conditions throughout the day.
Surat,2011-04-29,36.1,26.1,30.7,40.3,26.1,34.7,23,64.6,25.6,286.2,1005.9,10.4,4,2011-04-29 06:09:41,2011-04-29 19:02:44,0.94,Clear,Clear conditions throughout the day.
Surat,2011-04-30,36.4,26.9,30.8,43.5,29.5,35.1,23.1,64.6,26.3,289.3,1006.8,21,4,2011-04-30 06:09:02,2011-04-30 19:03:07,0.97,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-05-01,36.1,27.4,31.1,40.9,30.7,35.8,23.4,64.7,27,301.1,1007.8,12.2,4,2011-05-01 06:08:23,2011-05-01 19:03:30,0.99,Clear,Clear conditions throughout the day.
Surat,2011-05-02,35.1,26.4,30.3,36.4,26.4,33.6,22,62.4,32.4,266.2,1007.8,9.5,4,2011-05-02 06:07:45,2011-05-02 19:03:54,1,Clear,Clear conditions throughout the day.
Surat,2011-05-03,33.7,25.9,29.5,37,25.9,33.3,23.2,70.3,34.9,254.6,1007.9,25,4,2011-05-03 06:07:08,2011-05-03 19:04:18,0,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-05-04,32.1,27.2,29,37.6,30.4,33.1,23.8,73.9,32.4,238.4,1009,16.7,4,2011-05-04 06:06:32,2011-05-04 19:04:41,0.01,Clear,Clear conditions throughout the day.
Surat,2011-05-05,31.9,27.1,28.9,37.9,30.8,33.6,24.4,76.9,31.7,236.9,1009,18.7,4,2011-05-05 06:05:57,2011-05-05 19:05:05,0.02,Clear,Clear conditions throughout the day.
Surat,2011-05-06,32.9,26.4,28.9,36.2,26.4,32.5,23.5,73.3,33.1,237.2,1008.6,5.1,4,2011-05-06 06:05:23,2011-05-06 19:05:30,0.05,Clear,Clear conditions throughout the day.
Surat,2011-05-07,32.9,27.4,28.9,37.9,30.9,33.2,24.2,76.5,32,238.3,1007.9,14.7,4,2011-05-07 06:04:49,2011-05-07 19:05:54,0.08,Clear,Clear conditions throughout the day.
Surat,2011-05-08,32.1,27.7,29,38.8,32,34.4,25.1,80,29.2,231.6,1006.5,10.1,4,2011-05-08 06:04:17,2011-05-08 19:06:19,0.13,Clear,Clear conditions throughout the day.
Surat,2011-05-09,33.7,27.6,29.4,40.3,31.4,34.6,24.6,76.1,32.8,236.5,1006.9,5.9,4,2011-05-09 06:03:45,2011-05-09 19:06:44,0.18,Clear,Clear conditions throughout the day.
Surat,2011-05-10,32.1,27.1,29.3,38,30.5,34,24.1,74.1,35.6,239.9,1007.7,3.7,4,2011-05-10 06:03:15,2011-05-10 19:07:09,0.23,Clear,Clear conditions throughout the day.
Surat,2011-05-11,33.2,26.1,29.3,39.3,26.1,33.6,23.9,73.2,33.8,246.4,1008,1.3,4,2011-05-11 06:02:45,2011-05-11 19:07:34,0.28,Clear,Clear conditions throughout the day.
Surat,2011-05-12,32.7,26.7,29.2,39.6,26.7,33.8,24.3,75.4,32.4,236.8,1007.2,14.2,4,2011-05-12 06:02:17,2011-05-12 19:07:59,0.34,Clear,Clear conditions throughout the day.
Surat,2011-05-13,32.2,27.1,29.2,38.8,30.3,34.3,24.6,76.7,31.3,234.3,1008.4,15.3,4,2011-05-13 06:01:49,2011-05-13 19:08:24,0.39,Clear,Clear conditions throughout the day.
Surat,2011-05-14,33.2,27.2,29.3,39.9,31.1,34.6,24.9,77.6,31.7,239.3,1007.9,13.6,4,2011-05-14 06:01:23,2011-05-14 19:08:50,0.44,Clear,Clear conditions throughout the day.
Surat,2011-05-15,33.4,26.1,29.8,38.6,26.1,34.9,24.4,73.3,32.4,251.4,1008.7,15.4,4,2011-05-15 06:00:58,2011-05-15 19:09:15,0.47,Clear,Clear conditions throughout the day.
Surat,2011-05-16,33.9,27.9,29.9,39.9,32.2,35.1,24.3,72.6,23.4,242.3,1009.8,61.6,4,2011-05-16 06:00:33,2011-05-16 19:09:41,0.49,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-05-17,36.1,28.1,30.5,45.3,33,36.3,24.7,72,35.3,261.3,1008.8,42.4,4,2011-05-17 06:00:10,2011-05-17 19:10:07,0.5,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-05-18,32.9,28.1,29.8,41.2,33.9,36.3,25.6,78.6,34.6,234.5,1008.4,52,4,2011-05-18 05:59:48,2011-05-18 19:10:32,0.51,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-05-19,32.2,28.2,30,40.6,33.7,37.1,25.9,78.9,36.7,230.8,1007.1,39.7,4,2011-05-19 05:59:26,2011-05-19 19:10:58,0.53,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-05-20,31.9,28.4,29.7,40.2,33.7,36.7,26,80.4,41,226.6,1004.7,32.7,4,2011-05-20 05:59:06,2011-05-20 19:11:24,0.56,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-05-21,32.7,29.1,30.2,41.4,35.5,37.6,26,78.8,41.4,224.8,1004,48.3,4,2011-05-21 05:58:47,2011-05-21 19:11:50,0.6,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-05-22,33.2,29.2,30.3,42.9,36.3,38.2,26.4,80,36.4,223.7,1005.9,53.7,4,2011-05-22 05:58:29,2011-05-22 19:12:15,0.65,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-05-23,33.1,28.9,30.2,42.3,35.7,37.8,26.3,80.1,28.8,225.3,1007.9,58.6,4,2011-05-23 05:58:12,2011-05-23 19:12:41,0.69,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-05-24,34.4,28.7,30.2,42.4,35.1,37.4,25.9,78,29.9,229.2,1007.9,55.2,4,2011-05-24 05:57:57,2011-05-24 19:13:07,0.74,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-05-25,33.7,28.7,30.1,41.3,34.6,36.8,25.6,77,29.5,239.8,1007,28.2,4,2011-05-25 05:57:42,2011-05-25 19:13:32,0.79,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-05-26,34.1,28.6,30.3,40.6,33.9,36.6,25.1,74.5,29.5,240.4,1007.6,46.2,4,2011-05-26 05:57:28,2011-05-26 19:13:58,0.84,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-05-27,36.4,29.1,31.1,40.9,33.8,37.2,24.6,69,31.3,257.6,1007.2,33,4,2011-05-27 05:57:16,2011-05-27 19:14:23,0.88,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-05-28,35.2,29.1,30.8,41,33.8,37.1,24.8,71.1,31.7,261.2,1007.2,16.5,4,2011-05-28 05:57:04,2011-05-28 19:14:48,0.92,Clear,Clear conditions throughout the day.
Surat,2011-05-29,35.4,29.1,31,43.9,33.8,38.1,25.4,72.5,34.2,251.7,1007.3,19.8,4,2011-05-29 05:56:54,2011-05-29 19:15:13,0.95,Clear,Clear conditions throughout the day.
Surat,2011-05-30,34.4,29.4,31.1,43.8,34,38.7,25.7,73,35.3,247.8,1006.8,18.7,4,2011-05-30 05:56:45,2011-05-30 19:15:38,0.98,Clear,Clear conditions throughout the day.
Surat,2011-05-31,33.7,28.7,30.6,43,34.5,38.3,26,76.8,38.2,239.9,1005,65.8,4,2011-05-31 05:56:37,2011-05-31 19:16:03,1,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-06-01,33.4,29.4,30.5,42.9,35.5,38.3,26.2,77.8,29.5,230.1,1003.7,60.9,4,2011-06-01 05:56:30,2011-06-01 19:16:27,1,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-06-02,35.1,28.7,30.8,42.7,35.5,38.1,25.8,75.6,27.7,228.3,1004.4,61.8,4,2011-06-02 05:56:24,2011-06-02 19:16:51,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
Surat,2011-06-03,32.9,25.7,30.2,40.2,25.7,35.7,24.5,72.4,20.9,261.6,1004.5,70.5,3.8,2011-06-03 05:56:19,2011-06-03 19:17:15,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
Surat,2011-06-04,35.4,28.1,31,45.5,34,37.5,25,71,18.7,268.2,1002.8,69,4,2011-06-04 05:56:15,2011-06-04 19:17:38,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
Surat,2011-06-05,35.1,26.1,30.6,47.9,26.1,37.7,25.7,75.8,22.7,230.3,1001.6,85.4,4,2011-06-05 05:56:12,2011-06-05 19:18:01,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
Surat,2011-06-06,38.1,26.9,31.2,45.2,30.6,39.8,26.5,77.3,21.6,214,1001.9,79.5,3.6,2011-06-06 05:56:10,2011-06-06 19:18:24,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
Surat,2011-06-07,31.4,29.1,30.4,39.6,35.3,38.2,26.2,78.1,19.1,215.7,1003.2,82.8,4,2011-06-07 05:56:10,2011-06-07 19:18:46,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
Surat,2011-06-08,34.6,28.7,31.2,42.8,34.5,39,25.9,74,23,171.2,1002.1,73.6,4,2011-06-08 05:56:10,2011-06-08 19:19:08,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
Surat,2011-06-09,34,29.6,31.4,43,36.3,39.5,26,73.7,32,100,,92.9,,2011-06-09 05:56:11,2011-06-09 19:19:29,0.27,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.
Surat,2011-06-10,32.5,29.3,30.6,41,35.8,38.1,25.9,75.9,29.5,117.6,,90.8,,2011-06-10 05:56:14,2011-06-10 19:19:50,0.33,Overcast,Cloudy skies throughout the day.
Surat,2011-06-11,30.2,28.6,29.3,39,35.1,36.9,26.7,85.8,44.3,150.6,,94.9,,2011-06-11 05:56:17,2011-06-11 19:20:10,0.38,Overcast,Cloudy skies throughout the day.
Surat,2011-06-12,30,28.7,29.4,38.5,35.3,36.8,26.4,83.7,45.4,196.2,,94.7,,2011-06-12 05:56:21,2011-06-12 19:20:30,0.43,Overcast,Cloudy skies throughout the day.
Surat,2011-06-13,30.8,29.1,29.8,38.6,35,36.6,25.7,78.9,33.8,215.9,1004.6,85.7,4,2011-06-13 05:56:26,2011-06-13 19:20:49,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
Surat,2011-06-14,32.4,29,29.9,41.3,34.7,37,26,79.7,36.7,229.3,1004.4,81.8,4,2011-06-14 05:56:33,2011-06-14 19:21:07,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
Surat,2011-06-15,31.1,26.1,29.4,39.7,26.1,36.2,26.1,82.3,34.9,232.2,1004.7,66.5,3.8,2011-06-15 05:56:40,2011-06-15 19:21:25,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
Surat,2011-06-16,32.1,28.2,29.6,41.8,34,37.1,26.4,83.3,37.1,229.3,1003.3,45.4,4,2011-06-16 05:56:48,2011-06-16 19:21:43,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
Surat,2011-06-17,32.2,28.4,29.9,41.4,34.5,37.4,26.3,81.3,38.9,235.1,1001.4,41.9,3.8,2011-06-17 05:56:56,2011-06-17 19:21:59,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
Surat,2011-06-18,32.7,29,29.8,41.9,35,36.9,26,80,41,226.8,1002.2,48.3,4,2011-06-18 05:57:06,2011-06-18 19:22:15,0.54,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-06-19,31.4,28.8,29.7,40.2,35.4,37.1,26.3,82.2,38.9,233.8,1001.8,55,4,2011-06-19 05:57:17,2011-06-19 19:22:30,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
Surat,2011-06-20,32.1,28.4,29.7,43,35.1,37.1,26.3,82.1,37.4,233.5,1002.7,85.1,4,2011-06-20 05:57:28,2011-06-20 19:22:44,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
Surat,2011-06-21,32.7,28.9,30.1,43,35.7,37.7,26.2,80.1,36.4,236.5,1003.5,76,4,2011-06-21 05:57:40,2011-06-21 19:22:58,0.66,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-06-22,32.7,29.1,29.9,41.8,35,37.3,26.1,80.1,38.2,242.1,1002.2,81.4,4,2011-06-22 05:57:53,2011-06-22 19:23:11,0.71,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-06-23,32.2,28.9,29.9,40.6,35.5,37.2,26.2,80.7,41,243.5,1002.1,80.8,4,2011-06-23 05:58:07,2011-06-23 19:23:23,0.75,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-06-24,31.7,28.9,29.8,39.7,35,36.7,25.8,79.4,38.5,237.3,1001.9,78.1,4,2011-06-24 05:58:21,2011-06-24 19:23:34,0.8,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-06-25,32.2,28.6,29.7,40.6,34.3,36.3,25.7,79.3,40.3,242.4,1001.3,82.8,4,2011-06-25 05:58:36,2011-06-25 19:23:44,0.85,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-06-26,31.9,28.6,29.5,39.9,34.3,36.1,25.7,80.1,40.7,236.5,1001,75.2,4,2011-06-26 05:58:52,2011-06-26 19:23:53,0.89,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-06-27,32.7,28.3,29.4,41.9,34.1,36,25.9,81.8,35.3,237.1,1001.3,76.3,4,2011-06-27 05:59:08,2011-06-27 19:24:02,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
Surat,2011-06-28,31.1,28.3,29.1,38.7,34,35.4,25.9,83.1,37.4,239.3,1001.4,81.5,4,2011-06-28 05:59:25,2011-06-28 19:24:09,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
Surat,2011-06-29,31.7,28.2,29.2,40.2,33.7,35.7,25.8,82.1,36.4,232.1,1002.9,88.8,4,2011-06-29 05:59:42,2011-06-29 19:24:15,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
Surat,2011-06-30,31.4,28.3,29.2,39.9,34.2,36,26.2,83.8,33.8,228,1004.2,76.7,3.8,2011-06-30 06:00:01,2011-06-30 19:24:21,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
Jaipur,2011-04-01,34.1,20.1,28.2,31.5,20.1,27,5.6,26.1,16.6,163.9,,46.3,3.9,2011-04-01 06:18:12,2011-04-01 18:43:46,0.99,Partially cloudy,Partly cloudy throughout the day.
Jaipur,2011-04-02,35.4,21.9,28.4,32.8,21.9,27.2,3.6,22.1,20.5,136.5,,37.1,4.3,2011-04-02 06:17:07,2011-04-02 18:44:16,1,Partially cloudy,Partly cloudy throughout the day.
Jaipur,2011-04-03,32.9,19,25.7,30.5,19,25,4.5,28.1,16.6,90.4,,35.6,4.2,2011-04-03 06:16:01,2011-04-03 18:44:46,1,Partially cloudy,Partly cloudy throughout the day.
Jaipur,2011-04-04,34.6,21.1,26.8,31.9,21.1,26,0,20.2,18.4,62.4,,7.5,4.1,2011-04-04 06:14:57,2011-04-04 18:45:15,0,Clear,Clear conditions throughout the day.
Jaipur,2011-04-05,33.1,19.1,26.3,30.7,19.1,25.4,-2.5,16.8,14.8,153,,1.3,4.7,2011-04-05 06:13:52,2011-04-05 18:45:45,0.02,Clear,Clear conditions throughout the day.
Jaipur,2011-04-06,36.1,18.1,27.2,33.2,18.1,26.1,-3.4,14.9,21.6,259.5,,39.6,5,2011-04-06 06:12:48,2011-04-06 18:46:15,0.04,Partially cloudy,Partly cloudy throughout the day.
Jaipur,2011-04-07,35.1,21.6,28.6,32.4,21.6,27.4,0.4,17.2,20.5,165.4,,49.7,4.3,2011-04-07 06:11:44,2011-04-07 18:46:45,0.07,Partially cloudy,Partly cloudy throughout the day.
Jaipur,2011-04-08,33.1,22.1,27.9,30.8,22.1,26.8,5.8,25.5,14,107.2,,44.3,4.4,2011-04-08 06:10:40,2011-04-08 18:47:15,0.1,Partially cloudy,Partly cloudy throughout the day.
Jaipur,2011-04-09,34.1,20.3,28.1,31.8,20.3,27,5.6,24.5,14.8,111.5,,25,4.2,2011-04-09 06:09:37,2011-04-09 18:47:45,0.14,Partially cloudy,Partly cloudy throughout the day.
Jaipur,2011-04-10,38.4,22.9,29.8,35.6,22.9,28.5,6.9,24.6,27.7,94.8,,32.5,3,2011-04-10 06:08:35,2011-04-10 18:48:15,0.2,Partially cloudy,Partly cloudy throughout the day.
Jaipur,2011-04-11,38.4,23.1,29.5,35.9,23.1,28.4,9.4,30,25.9,231.3,,67,3.8,2011-04-11 06:07:32,2011-04-11 18:48:46,0.25,Partially cloudy,Partly cloudy throughout the day.
Jaipur,2011-04-12,35.1,23.8,30.3,33.8,23.8,29.3,10.7,30.9,20.5,287.6,,70.8,3.8,2011-04-12 06:06:30,2011-04-12 18:49:16,0.31,Partially cloudy,Partly cloudy throughout the day.
Jaipur,2011-04-13,34.1,23.1,29.4,32,23.1,28.3,9.8,31.3,14.8,212,,37,4.4,2011-04-13 06:05:29,2011-04-13 18:49:46,0.36,Partially cloudy,Partly cloudy throughout the day.
Jaipur,2011-04-14,35.4,25.1,30.4,32.8,25.1,28.9,6.2,22.9,13,199.8,,33.1,4.9,2011-04-14 06:04:28,2011-04-14 18:50:17,0.41,Partially cloudy,Partly cloudy throughout the day.
Jaipur,2011-04-15,35.2,22.2,29.1,32.9,22.2,27.9,7.3,26.5,11.2,189.4,,44.4,4.8,2011-04-15 06:03:28,2011-04-15 18:50:48,0.45,Partially cloudy,Partly cloudy throughout the day.
Jaipur,2011-04-16,37.1,24.1,30.8,34.8,24.1,29.6,9,27.5,25.9,116.9,,48.7,4.1,2011-04-16 06:02:28,2011-04-16 18:51:18,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
Jaipur,2011-04-17,36.1,25.1,29.8,34.8,25.1,29.5,14.5,41.4,25.2,143.3,,46.8,3,2011-04-17 06:01:29,2011-04-17 18:51:49,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
Jaipur,2011-04-18,34.1,21.1,28.3,31.7,21.1,27.1,9.7,40.5,20.5,268.8,,33.8,4,2011-04-18 06:00:30,2011-04-18 18:52:21,0.5,Partially cloudy,Partly cloudy throughout the day.
Jaipur,2011-04-19,35.1,20.1,28.5,32.5,20.1,27.3,5.7,26.4,20.5,155.3,,25.8,4.9,2011-04-19 05:59:33,2011-04-19 18:52:52,0.52,Partially cloudy,Becoming cloudy in the afternoon.
Jaipur,2011-04-20,34.1,20.2,29.2,31.5,20.2,27.7,2.9,20.7,18.4,95.8,,28,4.9,2011-04-20 05:58:35,2011-04-20 18:53:23,0.54,Partially cloudy,Partly cloudy throughout the day.
Jaipur,2011-04-21,37.2,23.1,30.1,34.2,23.1,28.5,3.2,19.6,13,141.5,,26.5,4.5,2011-04-21 05:57:39,2011-04-21 18:53:55,0.58,Partially cloudy,Partly cloudy throughout the day.
Jaipur,2011-04-22,37.1,23.1,30.1,34.1,23.1,28.6,2,18.3,18.4,188,,13.1,4.7,2011-04-22 05:56:43,2011-04-22 18:54:26,0.63,Clear,Clear conditions throughout the day.
Jaipur,2011-04-23,37.1,23.6,30.9,34.1,23.6,29.2,3.3,18.8,14.8,176,,11.3,4.5,2011-04-23 05:55:48,2011-04-23 18:54:58,0.67,Clear,Clear conditions throughout the day.
Jaipur,2011-04-24,38.9,24,31.8,35.6,24,30,3.3,17.8,18.4,201.1,,10,5.3,2011-04-24 05:54:53,2011-04-24 18:55:30,0.72,Clear,Clear conditions throughout the day.
Jaipur,2011-04-25,42.2,23.1,32.2,38.3,23.1,30.4,4.9,20.7,16.6,216.3,,6.3,4,2011-04-25 05:54:00,2011-04-25 18:56:02,0.77,Clear,Clear conditions throughout the day.
Jaipur,2011-04-26,43.5,26.1,33.3,43.5,26.1,31.7,6.4,21.2,22.3,148.6,,0,3.6,2011-04-26 05:53:07,2011-04-26 18:56:35,0.82,Clear,Clear conditions throughout the day.
Jaipur,2011-04-27,39.1,24.4,31.9,36.6,24.4,30.7,10.4,28.6,13,159.7,,0,4.2,2011-04-27 05:52:15,2011-04-27 18:57:07,0.87,Clear,Clear conditions throughout the day.
Jaipur,2011-04-28,41.5,26.1,33.7,37.9,26.1,31.9,7.4,22.5,16.6,225.7,,12.5,3.9,2011-04-28 05:51:24,2011-04-28 18:57:39,0.91,Clear,Clear conditions throughout the day.
Jaipur,2011-04-29,40.1,25.7,34.8,37.4,25.7,32.7,6.6,18.1,22.3,312.3,,19.4,4.4,2011-04-29 05:50:34,2011-04-29 18:58:12,0.94,Clear,Clear conditions throughout the day.
Jaipur,2011-04-30,40.1,27.3,33.6,37.7,26.7,31.8,8.2,22,20.5,298.3,,30.2,4.5,2011-04-30 05:49:44,2011-04-30 18:58:45,0.97,Partially cloudy,Partly cloudy throughout the day.
Jaipur,2011-05-01,39.1,27.4,34.2,36.8,26.5,32.2,7.2,19.3,14.8,294.7,,43.1,4.4,2011-05-01 05:48:56,2011-05-01 18:59:18,0.99,Partially cloudy,Partly cloudy throughout the day.
Jaipur,2011-05-02,38.1,25.8,33.5,37.3,25.8,32.4,11.3,26.4,25.9,291,,25.1,4,2011-05-02 05:48:08,2011-05-02 18:59:51,1,Partially cloudy,Partly cloudy throughout the day.
